FILE_NAME,DEVICE,WAFERID,X,Y,GOOD,FAIL
688AZRA.19,S3K250AXCS-8Y0,688AZR-19,150,94,10731,465
688AZRA.20,S3K250AXCS-8Y0,688AZR-20,150,94,10698,498
688AZRA.21,S3K250AXCS-8Y0,688AZR-21,150,94,10704,492
688T98M.14,S3K250AXCS-8Y0,688T98M-14,150,94,10618,576
688T98M.15,S3K250AXCS-8Y0,688T98M-15,150,94,10607,587
688T98M.16,S3K250AXCS-8Y0,688T98M-16,150,94,10542,652
688T98M.17,S3K250AXCS-8Y0,688T98M-17,150,94,10618,576
688T98M.18,S3K250AXCS-8Y0,688T98M-18,150,94,10684,510
688T98M.19,S3K250AXCS-8Y0,688T98M-19,150,94,10666,528
688T98M.20,S3K250AXCS-8Y0,688T98M-20,150,94,10613,581
688T98M.21,S3K250AXCS-8Y0,688T98M-21,150,94,10667,527
688T98M.22,S3K250AXCS-8Y0,688T98M-22,150,94,10623,571
688T98M.23,S3K250AXCS-8Y0,688T98M-23,150,94,10611,583
688T98M.24,S3K250AXCS-8Y0,688T98M-24,150,94,10614,580
688T98M.25,S3K250AXCS-8Y0,688T98M-25,150,94,10684,510
