FILE_NAME,REFCNT (0),REFBIN (X),PASSED (P)
N06522-01-F2.ned,382,1,18899
N06522-02-A2.ned,382,1,18899
N06522-03-C5.ned,382,1,18793
N06522-04-F0.ned,382,1,18834
N06522-05-A0.ned,382,1,18770
N06522-06-C3.ned,382,1,18588
N06522-07-E6.ned,382,1,18745
N06522-08-H1.ned,382,1,18808
N06522-09-C1.ned,382,1,18386
N06522-10-H1.ned,382,1,18850
N06522-11-C1.ned,382,1,18252
N06522-12-E4.ned,382,1,18232
N06522-13-G7.ned,382,1,18234
N06522-14-B7.ned,382,1,18655
N06522-15-E2.ned,382,1,18624
N06522-16-G5.ned,382,1,18552
N06522-17-B5.ned,382,1,18342
N06522-18-E0.ned,382,1,18468
N06522-19-G3.ned,382,1,18023
N06522-20-E0.ned,382,1,18745
N06522-21-G3.ned,382,1,18348
N06522-22-B3.ned,382,1,18484
N06522-23-D6.ned,382,1,18119
N06522-24-G1.ned,382,1,18218
N06522-25-B1.ned,382,1,17181
