WAFER ID,FILE NAME,PASSED (P)
N06522-01-F2,N06522-01.TXT,18899
N06522-02-A2,N06522-02.TXT,18899
N06522-03-C5,N06522-03.TXT,18793
N06522-04-F0,N06522-04.TXT,18834
N06522-05-A0,N06522-05.TXT,18770
N06522-06-C3,N06522-06.TXT,18588
N06522-07-E6,N06522-07.TXT,18745
N06522-08-H1,N06522-08.TXT,18808
N06522-09-C1,N06522-09.TXT,18386
N06522-10-H1,N06522-10.TXT,18850
N06522-11-C1,N06522-11.TXT,18252
N06522-12-E4,N06522-12.TXT,18232
N06522-13-G7,N06522-13.TXT,18234
N06522-14-B7,N06522-14.TXT,18655
N06522-15-E2,N06522-15.TXT,18624
N06522-16-G5,N06522-16.TXT,18552
N06522-17-B5,N06522-17.TXT,18342
N06522-18-E0,N06522-18.TXT,18468
N06522-19-G3,N06522-19.TXT,18023
N06522-20-E0,N06522-20.TXT,18745
N06522-21-G3,N06522-21.TXT,18348
N06522-22-B3,N06522-22.TXT,18484
N06522-23-D6,N06522-23.TXT,18119
N06522-24-G1,N06522-24.TXT,18218
N06522-25-B1,N06522-25.TXT,17181
,,462049
