WAFER ID,FILE_NAME,PASS,FAIL
1003394D-H9332-13,H9332-13.TXT,5834,1055
1003395D-H9332-12,H9332-12.TXT,5962,927
1003396D-H9332-11,H9332-11.TXT,5681,1208
1003397D-H9332-10,H9332-10.TXT,5927,962
1003398D-H9332-09,H9332-09.TXT,5739,1150
1003399D-H9332-08,H9332-08.TXT,5849,1040
1003400D-H9332-07,H9332-07.TXT,5777,1112
1003401D-H9332-06,H9332-06.TXT,5734,1155
1003402D-H9332-05,H9332-05.TXT,5676,1213
1003403D-H9332-04,H9332-04.TXT,5994,895
1003404D-H9332-03,H9332-03.TXT,5906,983
1003405D-H9332-02,H9332-02.TXT,5986,903
1003406D-H9332-01,H9332-01.TXT,6038,851
,,76103,
